review_id,review_text,source_star,source_split,location_sentiment,service_sentiment,price_sentiment,environment_sentiment,food_sentiment,aspect_summary,selection_role
28901,每次去比格都很奇怪，貌似人不是很多，却是外面好多的排队。孩子上完课后。和朋友一起去的，还好排队时间不算太长，大约半个小时吧，被安排在一个角落里。先来说说他们环境吧。因为来过n次了，不算好也谈不上坏，环境一般般吧。这次发现他们地面好滑，觉得粘呼呼的。不知道那么多工作人员走来走去能否感觉到？再说食品，我们12.50左右进去的，应该是午餐最旺盛的时刻吧，我想喝点银耳汤却始终没有喝到，不是人太多喝不到啊，而是等了好久都没有，说实话，如果不是孩子们要去，个人不会首选！,4.0,train,,negative,,negative,,service:negative; environment:negative,regression_negative
14662,国庆黄金周前朋友聚餐 团了券带上老婆孩子 由于孩子身高还不足一米 免费 酒店比较贴心给准备了儿童餐椅和整套儿童餐具 赞一个 娃爱吃虾 蒸蛋 小蛋糕 后来还下了碗面条 餐厅的各类美食还是比较丰富的 有刺身 有碳烤 有中餐 有铁板 老婆爱吃三文鱼 比较过瘾 如果有我爱吃的北极贝就更好了 烤小黄鱼盐加多了 超咸…… 碳烤生蚝和扇贝爱吃 搞了几轮 不错的 小龙虾由于已经下市 个头小不好吃了 其他各种肉类还是蛮对口的 就是感觉自助餐还是中午吃好 晚上吃得花好长时间消化啊……,5.0,train,,positive,neutral,,negative,service:positive; price:neutral; food:negative,regression_mixed
26218,最爱的就是匠子的盐水毛豆蘸芥末 特别好吃 或许是因为我比较喜欢芥末的味道吧 所以我觉得超级棒 每次来吃烤鱼都是心里特别激动特别想念的时候就第一时间冲过来排位等叫号 就算辛苦也觉得值得 只要能吃到就很开心了 只不过昨天去吃的时候 可能烤鱼师傅今天心情太好了 放了的配料好像有点重 吃过之后回来一直狂喝水 但是配饭吃就棒棒哒 千叶豆腐的好吃程度和毛豆有的一拼 总而言之 为这个人多排位等很久但是吃的很开心的地方点赞 p.s 重点是还在放疯狂外星人 开心～,5.0,test,,negative,,,positive,service:negative; food:positive,regression_mixed
24464,據我了解，大舜是家有名的火鍋店，不過這是我來了以後才聽說的，這地方交通不便，我只能打車來，公車不會搭，要在下沒事過來吃火鍋，不用錢都還要考慮考慮，但嚐過以後，味道的確不錯\\n　\\n友人作東，我就出一張嘴，再加上按快門，據了解是團購了份四人套餐，有需要再加點，反正我是吃得很飽，中午一頓火鍋頂到隔天，晚餐都沒吃也沒事ㄦ。好處是一人一鍋，雖然少了些熱鬧感，但對有潔癖的人很有幫助，像咱們幾個台灣同志，基本不接受吃別人口水這檔事，自己掌控自己的鍋，好使\\n　\\n平心而論，要請客吃火鍋大舜的確不錯，有機會吃吃旁邊的大舜烤肉（有人載的話）,4.0,train,negative,,neutral,,positive,location:negative; price:neutral; food:positive,regression_mixed
14151,因为工作有合作，记不清来他家吃过多少次了，同事的婚宴还是在他家办的。优点有：环境好，地方大，几乎从没见过坐不下的时候，装修还不错，菜品味道也还可以，价格适中；缺点就是位置偏僻，基本上只有附件的人光顾，有时候上菜比较慢，服务态度只能算正常吧。印象最深味道好的菜有杏仁海皇卷、上汤蔬菜（一锅蔬菜但是要100多元，主要是高汤的味道），红烧肉等等。门口有停车场，几乎随便停。对面的万科森林公园人气起来以后，生意可能会更好些。,4.0,train,negative,mixed,negative,positive,positive,location:negative; service:mixed; price:negative; environment:positive; food:positive,regression_service_environment
15058,在南京早餐不吃鸭血粉丝汤貌似很不对，但走过这家店的时候看着挺干净，于是两个懒人懒癌一发作就不高兴再步行800米去吃本地名小吃了\\n\\n早上去的早，店里就我们一桌，服务员都在忙着打扫为中午做准备，想要为中午留点胃口两人点了一份面，事实证明很明智，这里的面大碗量足的，两个女生一碗早饭足够\\n\\n吃的是招牌酸汤肥牛面，料挺多，面的口感很独特，有点介于机压面和方便面的那种口感，肥牛就是超市里速冻里卖的那种，火锅店里也很常见，口感一般般吧，配料蔬菜什么种类倒是挺多，一碗有荤有素营养很全面了\\n,3.0,train,,negative,,positive,positive,service:negative; environment:positive; food:positive,regression_service_environment
28215,来西双版纳三天，吃的第一顿傣家菜，在大众点评搜的，排名第一的店，按着地址就来了，门面小小的，上了二楼坐了靠窗的位置，等菜的空挡还能看看外面的风景。点了柠檬凉粉，柠檬烤鱼，包烧豆腐，炸青苔，菠萝饭和柠檬汁。柠檬凉粉有点像陕西的搅团，外地人应该听不懂的。柠檬烤鱼不沾柠檬酱，只吃鱼本身的味道就很好吃，鱼肉也特别嫩，非常好吃。包烧豆腐里面有肉末和菜，虽然吃不出来是什么只是觉得特别好吃。炸青苔有点像海苔的味道，也是不错的。菠萝饭真的是吃到的最好吃的菠萝饭了，比西安很多餐馆卖的都好吃，主要是当地的菠萝好吃，一会就要去买一个菠萝吃。柠檬汁是看了评价点的，真的太好喝了。最后整个饭的价钱也是不贵的，我跟妈妈特别满意。,5.0,train,,,positive,negative,positive,price:positive; environment:negative; food:positive,regression_service_environment
38509,这家店是中午11点钟才开始吃饭的，然后星期日去的，人还是蛮多的，俄生意非常好，东西也非常多，有，嗯，猪耳朵。还有猪爪子汤，还有红酒，还有啤酒，喝了很多红酒，吃了很多，嗯，这些。吃了很多鸡米花还有薯条，然后味道非常棒，蔬菜种类也非常多，但是的话价格50还可以，嗯跟多伦多差不多，就是没有牛排，其他还是蛮好的，饮料品种不是特别多，如果多一点你能听懂那就更好了，总之生意非常棒，希望商家多搞，团购活动，30块钱能吃到这样的这个自助餐这样做已经算非常不错的人，只可惜活动只到9月2号截止。但是以后还会去的，3家棒棒哒。,5.0,dev,,,positive,,positive,price:positive; food:positive,regression_price_location
31623,看到我有好多的积分呀，加在一起居然可以顶十元钱用，于是我便在大众点评网上用积分又团了一份国梁烤鸡，居然只花了9元钱就可以买到20元的食品，实在是太划算了，相当于打了五折，到了店内，服务员并没有因为我买的便宜就给我拿昨天剩下的或是不好的食品，而是都一视同仁的给我拿的日常卖的新鲜食品，真的是太棒了，就是喜欢吃国梁的味道，鸡腿、鸡翅、烤鸡、烤羊腿、炸肉等等，里面的好多食品都是我的最爱，所以，还是会一如既往的支持下去。,5.0,train,,positive,positive,,positive,service:positive; price:positive; food:positive,regression_price_location
4839,京味斋就在我们班车站旁边，今天下了班车我就先过去，老公带着老妈从家开车过去，还不到六点，所以还有停车位，听说京味斋只有七八个免费停车位。服务员态度热情，因为挨着后厨，老妈觉得有点呛，我们提出来马上帮我们换了个座位，上菜的速度也很快，大师傅就在旁边片烤鸭，最后把鸭架子打包放在客人旁边，不像很多餐馆从后厨拿来的鸭架子都不知道放了几天的了。宫保鸡丁和溜肝尖也是我的最爱，溜肝尖做的没有猪肝的腥味，炒的很嫩，很滑。口蘑芦笋也味道适宜。我们边吃边欣赏两个青年演奏家的民乐合奏，乐器挺悠扬的，很是享受。如果有电梯就好了，老人腿脚不方便的上下楼梯很困难。,5.0,train,neutral,positive,,,positive,location:neutral; service:positive; food:positive,regression_price_location
27447,本人没去吃过，也不是专业黑，不过想把订餐经历分享下。国庆准备回无锡宴请几位好友，8大5小，共计13人。人均消费200可以接受，毕竟生活在魔都，好环境和好菜品都能接受。然后奇葩的事情来了，首先5个小孩4个5-6岁，1个2岁不到这些也要算最低消费。好吧，那就谈呗。毕竟也算张口吃饭的人了。谈到一桌2000配菜，能接受。那就问问菜呗，2000元有什么大菜，红烧排骨，太湖白鱼，太湖银鱼等等。然后就一个劲的说不要紧你自己考虑，没办法我是穷人一个，想趁***严打公款消费，也感受下这种以前只对领导开放的地方。看来穷人就是穷人啊，也只能祝愿贵店生意兴隆，多放点霸王餐宣传自己了。等以后赚足钱了，我一定会来捧捧场。,1.0,train,,,negative,,,price:negative,extension_star_1
22440,总的来说差的要死！之前人气很火的菜例如香辣鸭头，酸菜鱼都没有了。一楼二楼来吃的人很多，可是服务员只有一两个！锅都没上就上甜点，吃免费供应的菜都吃饱了！地上的油和碎玻璃片也不清理，导致有人摔倒。这样的服务态度还有人要去么？简直比路边摊还要不如。点的玉米汁想来解辣，菜都吃完了还没上，还说榨错了？？？一个小时够榨错几个果汁？？可以看出每个顾客都对他们服务态度很不满意。既然能开出一个饭店，还请不出多一点的服务员？真的是以后都不会去了希望你们看到这个评语能够了解，不要去了才后悔（真的想一颗星都不打，可是看起来他们对自己很满意嘛，还非要顾客给他们评上一颗星，也是可笑的）,1.0,train,,negative,,negative,,service:negative; environment:negative,extension_star_1
25764,是一家只认钱不认道德底线餐厅，今晚我们用完餐刚下翠府餐厅的台阶，我们中有一朋友就晕倒了，(用餐时的酒水及饮料都是他们餐厅提供)他们工作人员那种在台阶之上偷窥的眼神及在我们左边接待、泊车人员冷漠态度让人害怕。最后我们把朋友扶离到餐厅10米左右，(离开的原因是他们的态度)在离开的过程中他们的工作不员让我们赶紧把我们的车移开。他们的那种态度让人心寒，好像就怕我们是病毒传播者。作为一家高档次餐厅，不能只做好菜品，良知也应提高。,1.0,train,,negative,,,,service:negative,extension_star_1
25623,昨天晚上去的，真的是失望而归！我三个人团购了五人套餐，收了餐位费和调料费，结果调料就是桌上罐子里的酱料，根本不是一人一份！服务员刚下单，肉还没上，炒饭主食都第一时间上上来了，我怀疑炒饭是客人退了拿来的或者事先做好的，烤肉架子油多的很恶心，肉薄的很，团购里的鱼根本不能吃，肉是酸酸的，可能死鱼烂鱼，烤点肉油直冒，吃个饭脸上全是油，严重都气泡，烤肉时油烟很大，叫服务员过来，服务员说他们家就这样，无语！套餐里的黄金球只有六个，图片上有十二个还是十五个，那么大盘子就六个，可能上菜的时候被偷吃了，菜分量都很少，烤蔬菜一点油都没有，以后不会再去了，你们以后也不要去了，谁去谁后悔,1.0,train,,neutral,neutral,negative,negative,service:neutral; price:neutral; environment:negative; food:negative,extension_star_1
27639,本来挺好的用餐体验，穿灰色衣服帮忙下单的服务员态度很好，虽然店里很多人很忙但都手脚勤快，而且一点也不含糊。就是买单的时候前台有个粉色衣服的，买单40多，要停车票说要满50才给，而且很拽的跟帮忙买单的服务员说不行，不可以给。先不说其他商场分店没这个规定，铂顿城的店有这个规定也犯不着这么串吧。说说吃的，手擀面劲道不错，番茄牛肉汤汁比较清甜，老醋花生真是百吃不厌，羊肉饺子不好吃，饺子皮太厚，手抓骨挺大块，看了真饱。这种连锁店的味道都相差不大，大家去吃的服务也是一部分，希望店家能加强服务培训吧。,1.0,test,positive,neutral,,,positive,location:positive; service:neutral; food:positive,extension_star_1
39602,这是第二次来这吃了，进门就两桌客人，不管是味道还是生意都没法和刚开张那几天没法比，难吃也就算了，和老婆就点了一份南昌口味虾虾，一份鸡杂，一份生蚝，一份羊肉。一份炒粉都没吃什么，实在是难吃，本来是打算不说什么，最多下次不去了，但是到现在凌晨五点了老婆和我还在闹肚子，我老婆只要吃了不干净的食物或是变质的食物就会闹肚子，所以希望各位吃货不要再去了，第一味道差，第二那么大的店从开张排队到现在只有两三桌客人总有他的原因，第三就是食材或者油是绝对有问题的，希望有关卫生部门媒体进行调查和监督。,1.0,train,,,,positive,negative,environment:positive; food:negative,extension_star_1
33778,等待时间太久，2个多小时，一行5个人有老人又有孩子，他们排位不是按照拿号顺序叫，是按人头算，如果是人多会提前安排，所以如果饿了人又少千万别执着等待，因为即使你饿了，他们首先安排人多的，其次安排会矫情的，今天亲眼目睹，79号明明还差很多，就因为门口叫号的承诺先让他们去遛达40分钟，结果79号过了40分钟后回来，说你让我们先遛达，结果回来还差很多没有到我们，如果早知我们就不回来了，结果门口叫号的居然给安排了，当时还差20多位，所以老实等待的人千万不要相信他们家，上他们家吃饭如果叫号，得会说谎，会矫情，再说菜的味道真的一般，价格倒是挺实惠！,1.0,test,,negative,positive,,neutral,service:negative; price:positive; food:neutral,extension_star_1
33443,第三次吃，每次都比上次差。招牌的羊肉汤--咸，喝了一碗配了4杯茶水；豆皮更是咸的惊天地，向店员反应，结果很惊讶的不退不换，拿回去“处理了一下”--估计是水里洗了洗，这下从死咸变成纯咸，所有其他调味都给洗去了…。环境老旧，不挑剔些勉强合格。但服务再次大退步，两个服务生一看就是新手，撤菜的时候汤汁泼了我家人的裤子；边上包房小孩吵闹，让关我们包房的门，说几次不关，等边上走了，倒是关上了；加茶水必须要叫，从不主动加；和服务员说菜咸，淡定的回答“这是正常人口味”，那莫非我就不是正常人？5个人，中午，1000最低消费的包房，菜没点什么，没吃到什么好吃的，服务全是未经培训的新人。总结，差评,1.0,train,,negative,negative,negative,negative,service:negative; price:negative; environment:negative; food:negative,extension_star_1
8702,典型的名不符实啊，环境就不说了，人太多，接连翻台，就一个字“吵”！点了四个海鲜，海螺不新鲜，可能跟污染有关吧！八爪食材不错整得哪个咸，辣炒麻蛒基本无味，饭店最出名的蒸饺食材还不错的，刚一吃哪一个淡，吃到最后才觉得有点味道，可能是人太多了，大厨对用盐已经麻木了，最奇葩的是不拿号根本不让进，收银员直接说没拿号怎么进来的，两顾因没拿号跟收银员吵起来了！真不明白，这菜品和味道以及服务怎么就上了大众点评的口味排名靠前了，性价比就不说了，坑D啊！关键是菜品实在是差啊！景区的钱实在好赚啊！,1.0,dev,,negative,negative,negative,neutral,service:negative; price:negative; environment:negative; food:neutral,extension_star_1
19634,已经很久没来吃了 别家订不到包厢没办法！定了一个有发电机的包厢也就算了，菜和出样的完全不一样，菜量少也就算了，居然菜一点味道都没有，说多了都是泪！因为生日问有没有送长寿面，服务员说有送，又问买单有没有什么折扣，答曰网上可以团优惠券，结帐的时候，谁也没说用网上的券就不能送面了，还是我自己看到他们嘀咕了一句，就问他们面是送的吧，他们才说，用券了面就要收费了，美其名曰:只能享受一种优惠。要面的时候就问了是不是送的，我知道你们有什么规定吗？还说我点的时候为什么不问清楚！真是吵都懒的吵了，说出来为了一碗面，感觉很好笑，可商家这种经营之道，相信大家也都看的清楚，这里我只会说我是最后一次消费,1.0,dev,,negative,negative,,negative,service:negative; price:negative; food:negative,extension_star_1
31513,看了“沈一点”的图文并茂的推荐。觉得貌似还和在四川吃的差不多的感觉。于是和小伙伴一起前往。6.30到那里。冷串台前挤满人。以为每个盆里不一样的菜色。最后发现基本每个碗里都是一样的。好不容易找了20来串。想想整点主食吃吃好了。结果主食都卖光。说是准备下班了。这真不知是生意太好。还是预备不足。收银台成摆设。旁边的收银妹子抱着钱箱发呆。放调料这个还称是店长的人变成边配置调料边买单。大家都是在调料台位置等候买单。挤成一团。整体管理混乱。隔壁桌妹子说水晶城那家还不错。这家什么都没有。这种新店刚开就给人印象不好。1串1元。有的也是2元。可1串1片土豆的这种配置也真是餐饮暴利了吧。口味又真的一般到不行。只能说没有下次。。,1.0,dev,,,neutral,,neutral,price:neutral; food:neutral,extension_star_1
3814,之前去大观天地的时候看到过几次对面的这家面馆，从外观看那一排就像待拆的危房，脏乱差的环境这家面馆竟然还能屹立不倒就默默记下了这家店。这次又来金逸看电影，实在不知道吃什么就选择了它。没选择在街边吃，来往车不仅有尾气还有灰尘，进店里那个环境更是不得了。简陋可以理解，但不至于这么脏吧？！地上、墙上都是千年老坑，黑漆漆的，而且墙上还有蜘蛛网！桌椅特别复古，筷笼破旧不堪。我心想这环境都能开下去味道一定很好吧，可我真是太天真了……味道特别一般，吃的时候我想到这环境就莫名觉得这面条和食材肯定也很脏。老板您能不这么懒吗？每天可以稍微打扰一下店里吗？除了便宜我真不知道还有什么优点了啊！,1.0,train,,,positive,negative,neutral,price:positive; environment:negative; food:neutral,extension_star_1
38691,这家店真是太过分了，做生意一点诚信都没，7月底去吃饭结账的时候没给我打折，第二天我电话询问情况，接电话的人员说，她去核对一下很会回电话给我，没过多久回电话说确实没打折，让我随便什么时候抽个时间去把钱退给我，谁知道我后来拿着票去退钱，里面的一个负责人，找各种理由不想退钱，而且一味的怪我去太迟了，还编理由说你现在来找我我也不知道你当时来消费的时候可是我们店打折时期，还忽悠我说你当时点的菜可能并不全是打折的菜，有意思吗？太搞笑了，我只想对那位负责人说，也就几十块钱，不退就算了，不要把自己生意做绝了，以后我会告诉我的每一位朋友不要去江南公社吃饭，饭菜难吃价格贵！,1.0,dev,,negative,negative,,negative,service:negative; price:negative; food:negative,extension_star_1
14135,因为家近来这里吃了一次，可真劲。两人要了一个炒烤肉，一个鸡丁，一个炒片，一个羊肉泡馍。都特别特别咸，就说西北菜都偏咸，餐厅也应该响应少油少盐的健康饮食号招，别弄的不喝水就吃不下。最最让人忍不可忍的就是那个羊肉泡馍，照片上确实很不错，看着跟西安吃的一样一样的。不但等半天不说，等端上来一年，哪里是泡馍，明明是泡饼！羊肉就是四片羊肉片，粉丝是在碗底的一大疙瘩！叫过服务员来问是哪个地域，只说是西北的，我说你这跟图片差的也太多了，他说做法不一样！建议大家还是别去了，南方人做西北菜，可想而知能做成什么样，反正我肯定不会再去！,1.0,train,,neutral,,,negative,service:neutral; food:negative,extension_star_1
9590,前段时间和朋友去吃难吃的惊为天人，因为前两年也和家人吃过那时候出品还不错。现在这么垃圾出品一星都给多。朋友点的鱼肠豆角堪称我2015年吃过最难吃的菜没之一 鱼肠又霉又苦味道还死咸 那个炸的咸鸡也是死咸 拆鱼汤一般总感觉挺味精的 炒苦瓜也能炒的这么咸我也是服。盐不要钱？我在珠海吃这么多年东西吃这么多家都没能有这么难吃的，也就上一年出品的五洲湾（这一年好太多了，上一年两星）能望到这家店一点小背影 服务也是差的一腿 爱理不理脸还臭臭的 本来我个大老粗也不在意这种服务上的问题不过东西这么难吃还服务差呵呵，送你负五星滚粗 永远不来,1.0,dev,,negative,,,negative,service:negative; food:negative,extension_star_1
6507,以前来过一次，感觉还行，环境蛮好，没想到这次服务差，菜差，价格偏高，问服务员为什么丫舌就这么几个，乱放在盆了，感觉像是别人吃剩直接端来的，服务员说就这样，推荐我的臭豆腐和响铃，图片上响铃里是卷肉末的，结果是一粒肉都没有，问服务员，还是回复就是这样烧的，炸臭豆腐加豆腐皮一份30，干锅包菜，就是荤油烧包菜，也是30，古老肉没看菜单，直接叫的，还不知的多少，菜贵可以，但要值，服务差，菜口味也差，不会再来！！！推荐别来！！！,1.0,train,,negative,negative,positive,negative,service:negative; price:negative; environment:positive; food:negative,extension_star_1
29023,每次路过，都看到在排队，想着应该不错，终于昨天晚上和老公一起去吃了，服务，压根没有吧，服务员素质差一点，我可以理解，连看似经理的人连怎么跟客人沟通都不会，我也是第一次碰到，还没用餐呢，心情已经极度不好，毕竟来了，就再给你一次机会，打开菜单，里面品种少，价格比同行的都高，而且味道真心一般，瞬间后悔，这种东西，还不如去吃呷哺呷哺。用餐时，还看见一桌客人在收银台投诉，作为服务行业，你们真是不把自己整死不罢休啊，如果你觉得价格高的，一定会有好东西，那你在这里就错了！从昨晚吃了以后，我和老公，一直拉肚子。想减肥的，你不妨试试，不过，健康最重要！这家店的老板，你怎么想？有钱也不能如此任性啊！,1.0,train,,negative,negative,negative,neutral,service:negative; price:negative; environment:negative; food:neutral,extension_star_1
40505,酸汤牛肉真的很难吃，跟在凯里吃到的差十万八千里价格还贵，炒菜没点不评价，盆景就不能打理一下吗，我在往外看风景无意间看到树根下面都烂了，上百只蛆在在哪蠕动，看的我头皮发麻这个恶心，不是我矫情，任何人看到都会不舒服，密集恐惧症有没有，老板也不清理一下，菜一般的就算了，看到个这个东西，旅游的心情都没了，总结就是不推荐，不如去侯家，不信的可以2家都试一下，这么多全5星评价我也是呵呵了，严重怀疑是。。算了不多说了，亲自来一次就知道了,1.0,train,,,negative,negative,negative,price:negative; environment:negative; food:negative,extension_star_1
16310,地址难找，要自己找到了才让老人家去，服务员态度好好，桌上爬了只小动物让他处理，他话不能杀生，让它自己慢慢爬走，上菜挺快的，看了别人点评话好的菜点，如：咖哩煲，用菇，土豆做，菇不能吸收咖哩的香，同用肉做的咖哩比觉得怪怪的，松耳生菜包要包的东西炒糊了，生菜叶 小小的一片，就是我们平时的一大片分成四块，能 包多少东西？真是麻麻。淮山卷不伦不类，还有其他的一人位的东西真是太少了。以前同事叫我不要去，我不信，现在去了才知道他说得多对,2.0,train,negative,positive,,negative,negative,location:negative; service:positive; environment:negative; food:negative,extension_star_2
37661,这也能叫自助餐啊 本来这价位也没抱太大希望 想随便吃吃因为1.2以下儿童免费 6点就去的拿了一次三文鱼就5片多也不乐意给 然后切鱼的师傅就再也没出现过了 想想算了这价位就这样吧 后来居然像纸一样的牛排也是昙花一现 然后茶水也没了 水果也没了 基本的炒菜肥牛牛柳设么的也都是空的 7点半的时候连醋都没有了 盘子也堆着没人收的 这个菜品39自助还差不多 原价168当我乡村来的没见过世面啊 坚决不会再去和对面芥末不能比 果然便宜没好货 第一次吃自助连水都喝不到 壶里全是空的 多伦多才76块性价比高太多了 估计这家酒店是私人承包的,2.0,train,,negative,mixed,,,service:negative; price:mixed,extension_star_2
